date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:50	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263f6ca2c-154%22	https://www.classcentral.com/robots.txt		(from )
23:17:51	664630/664630	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Feb%202023%2021:17:50%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/index.html	(from )
23:17:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2021:17:51%20GMT	http://schema.org/WebSite	C:/My%20Web%20Sites/ClassCentral_Project/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
23:17:53	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/My%20Web%20Sites/ClassCentral_Project/schema.org/WebSite.html	(from https://www.classcentral.com/)
23:17:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2021:17:53%20GMT	http://twitter.com/classcentral	C:/My%20Web%20Sites/ClassCentral_Project/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
23:17:54	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/ClassCentral_Project/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
23:17:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2021:17:55%20GMT	http://www.linkedin.com/company/class-central	C:/My%20Web%20Sites/ClassCentral_Project/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
23:17:55	175608/175608	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2021:17:54%20GMT	https://twitter.com/classcentral	C:/My%20Web%20Sites/ClassCentral_Project/twitter.com/classcentral.html	(from https://www.classcentral.com/)
23:17:56	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Thu,%2023%20Feb%202023%2021:17:55%20GMT	https://www.linkedin.com/company/class-central	C:/My%20Web%20Sites/ClassCentral_Project/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
23:17:56	134717/134717	---MCZ	200	added ('OK')	text/html	etag:W/%22c930057f6eb4e1d3efbc68c26f1eee2c%22	https://github.com/classcentral	C:/My%20Web%20Sites/ClassCentral_Project/github.com/classcentral.html	(from https://www.classcentral.com/)
23:17:56	2206/2206	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
23:17:57	975/975	URF---	200	untouched ('OK%20(cached)')	image/png		https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
23:17:57	731/731	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
23:17:58	166/166	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2023%20Feb%202023%2021:17:57%20GMT	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
23:17:58	1960/1960	UR-MCZ	200	updated ('OK')	image/svg+xml	etag:W/%2263f6c9db-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/ClassCentral_Project/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
